Coder,Letter Code,Gender,City,State,Country,Postal Code,Location,BingGeo,Latitude,Longitude,Month,Year,Which column?,Letter Title,Letter number,Page #,Reference: Title or topic,Reference: Month,Reference: Year,Reference: Page,In Reply To: Full Letter Code,Did the Editors reply in-line?,AI or robotics,Academia and research,Announcement for Byte readers,"Arts, music","BBS, modems, telecommunications",Club or user group,"Commentary, opinion",Computer Education/Teaching/Library,Computer store or other consumer/retail,Correction to an article,Criticism of Byte,Disability,"Family, children, spouse",Gaming,Identifies as novice,Includes source code,Notes their own age,Personal finance,Piracy/CopyProtection,Praise for Byte,Printers,Product/service recommendation or warning,Programming,Representation of gender and race,"Request for help, assistance, advice",Request to Byte editors re: magazine,Software Distributor/Distribution,Technical tip or how-to,"Work, professional life, business finances",Other
KD,1975.12.03L,Unknown,Brooklyn,NY,USA,11217,"Brooklyn, NY 11217, USA","Brooklyn, NY, United States",40.69245148,-73.99035645,12,1975,Letters,Logical complement,3,104,Editorial The Home Brew Voder,10.0,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
KD,1975.12.04L,Male,Woodland Hills,CA,USA,,"Woodland Hills, CA, USA","CA, United States",34.16889191,-118.6114807,12,1975,Letters,The Audio Cassette Tower of Babel,4,194,Which Microprocessor for you?,,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
KD,1975.12.05L,Male,Sterling Heights,MI,USA,,"Sterling Heights, MI, USA","Sterling Heights, MI, United States",42.59339905,-83.01355743,12,1975,Letters,On Life and Lifeline,5,106,Something about Conway's LIFE,9.0,1975.0,,,"No, they did not",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
KD,1975.12.06L,Male,Fresno,CA,USA,,"Fresno, CA, USA","Fresno, CA, United States",36.74066162,-119.78575900000001,12,1975,Letters,1 and 1 equals 2?,6,106,,10.0,1975.0,43,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electronics; Mathematics
KD,1976.01.01L,Male,Fullerton,CA,USA,,"Fullerton, CA, USA","Fullerton, CA, United States",33.87033081,-117.92896270000001,1,1976,Letters,Tasty but not filling,1,82,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
KD,1976.01.02L,Unknown,Raleigh,NC,USA,,"Raleigh, NC, USA","Raleigh, NC, United States",35.78551102,-78.64266968,1,1976,Letters,Words from a Reader,2,82,,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
KD,1976.01.03A,Male,Englewood,CO,USA,,"Englewood, CO, USA","Englewood, CO, United States",39.65462112,-104.9935608,1,1976,Ask Byte,Oscilloscope Graphics Interface,3,83,Oscilloscope graphics interface,10.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
KD,1976.01.04L,Unknown,Brooklyn,NY,USA,,"Brooklyn, NY, USA","Brooklyn, NY, United States",40.69245148,-73.99035645,1,1976,Letters,Thoughts on Teletype,4,83,,,,,,"Yes, the editors responded",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Amateur radio
KD,1976.01.05L,Male,Texarkana,TX,USA,,"Texarkana, TX, USA","Texarkana, TX, United States",33.42557907,-94.04824829,1,1976,Letters,"Questions--Star Trek, Surplus Chips",5,84,RGS 008A review by James Hogenson,9.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Science fiction
KD,1976.01.06L,Male,Dothan,AL,USA,,"Dothan, AL, USA","Dothan, AL, United States",31.22324944,-85.39337158,1,1976,Letters,Nybble,6,86,Programming articles on Page 88,11.0,1975.0,88,1975.11.??,"Yes, the editors responded",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Amateur radio
KD,1976.01.07L,Male,Madison,WI,USA,,"Madison, WI, USA","Madison, WI, United States",43.07294846,-89.38668823,1,1976,Letters,"SPACEWAR, Anyone?",6,86,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,
KD,1976.01.08L,Male,Washington,DC,USA,,"Washington, DC, USA","DC, United States",38.90618896,-77.01726532,1,1976,Letters,Rolling his own,7,86,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Hardware
KD,1976.01.09L,Female,Vernal,UT,USA,,"Vernal, UT, USA","Vernal, UT, United States",40.45571899,-109.52883909999998,1,1976,Letters,Housekeeping Computer,9,86,Richard Gardner,10.0,1975.0,,,"No, they did not",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Home automation
KD,1976.01.10L,Unknown,San Antonio,TX,USA,,"San Antonio, TX, USA","San Antonio, TX, United States",29.42457962,-98.49461365,1,1976,Letters,Logical inertia,10,87,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Humor
KD,1976.02.01L,Male,Madison,WI,USA,,"Madison, WI, USA","Madison, WI, United States",43.07294846,-89.38668823,2,1976,Letters,Even cats like Byte,1,10,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Humor; Animals
KD,1976.02.02L,Male,Caspar,WY,USA,,"Caspar, WY, USA","WY, United States",42.99957657,-107.5515213,2,1976,Letters,On Filling Vacuums,2,10,Editorial,12.0,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,
KD,1976.02.03L,Male,Santa Clara,CA,USA,,"Santa Clara, CA, USA","Santa Clara, CA, United States",37.35578918,-121.95509340000001,2,1976,Letters,BASIC Issues,2,10,Editorial about BASIC,12.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,
KD,1976.02.04L,Male,Corunna,IL,USA,,"Corunna, IL, USA","IL, United States",40.11393738,-89.1587677,2,1976,Letters,720 INFO Wanted,4,11,Keyboard,9.0,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,Help with hardware video terminal
KD,1976.02.05L,Male,Fairfax,VA,USA,,"Fairfax, VA, USA","Fairfax, VA, United States",38.84178925,-77.30886841,2,1976,Letters,Some thoughts on standards,5,11,,,,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Needs standards for I/O with terminal gear
KD,1976.02.06L,Female,N. Olmsted,OH,USA,,"N. Olmsted, OH, USA","OH, United States",40.41305161,-82.71121979,2,1976,Letters,Cheers,6,12,,,,,,"No, they did not",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,Humor
KD,1976.02.07L,Male,Tallahassee,FL,USA,,"Tallahassee, FL, USA","Tallahassee, FL, United States",30.43976974,-84.28064728,2,1976,Letters,Beyond games,7,12,,,,,,"No, they did not",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,Standardization
KD,1976.03.01L,Unknown,Cary,NC,USA,,"Cary, NC, USA","Cary, NC, United States",35.78974915,-78.78115845,3,1976,Letters,Filling a vaccuum with PROMs,1,68,Chris Ryland on proprietary programs,12.0,1975.0,12,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
KD,1976.03.02L,Male,Reston,VA,USA,,"Reston, VA, USA","Reston, VA, United States",38.95967865,-77.35453796,3,1976,Letters,More on Vacuums,2,68,The Software Vacuum by Chris Ryland (as well as the Editorial),12.0,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Hardware; standardization
KD,1976.03.03L,Female,Oklahoma City,OK,USA,,"Oklahoma City, OK, USA","Oklahoma City, OK, United States",35.47203064,-97.52107239,3,1976,Letters,Instant Addiction,3,70,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,
KD,1976.03.04L,Male,Chicago,IL,USA,,"Chicago, IL, USA","Chicago, IL, United States",41.88425064,-87.63244629,3,1976,Letters,Interchange standard?,4,70,Standardization in data storage,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Standardization; hardware
KD,1976.03.05L,Male,Florissant,MO,USA,,"Florissant, MO, USA","Florissant, MO, United States",38.79169846,-90.32337189,3,1976,Letters,Reflection and analysis,5,71,Ryland Software Vacuum and editorial,12.0,1975.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Amateur radio; hobbyists; software industry
KD,1976.03.06L,Male,State College,PA,USA,,"State College, PA, USA","State College, PA, United States",40.79373169,-77.86070251,3,1976,Letters,Enthusiasm,6,72,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
KD,1976.03.07L,Unknown,Unknown,??,???,,"Unknown, ??, ???",,,,3,1976,Letters,Exploding circuits,7,72,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hardware
KD,1976.03.08L,Male,Wichita,KS,USA,67219,"Wichita, KS 67219, USA","Wichita, KS, United States",37.686981200000005,-97.33557892,3,1976,Letters,Light pipes for a light pen?,8,73,Light pen article,12.0,1975.0,,,"No, they did not",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hardware
KD,1976.03.09L,Male,Portland,OR,USA,,"Portland, OR, USA","Portland, OR, United States",45.51179123,-122.6756287,3,1976,Letters,"Microprogrammed processors, anyone?",9,73,,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Hardware
KD,1976.04.01L,Unknown,Salem,OR,USA,97302,"Salem, OR 97302, USA","Salem, OR, United States",44.93326187,-123.04380800000001,4,1976,Letters,Oregon State Fortran Star Trek,1,6,Space War Star Trek,,,,,"No, they did not",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,
KD,1976.04.02L,Male,Santa Ana,CA,USA,,"Santa Ana, CA, USA","Santa Ana, CA, United States",33.74958038,-117.87445829999999,4,1976,Letters,Large Scale Star Trek,2,6,Discussion of Star Trek (Spacewar),1.0,1976.0,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,Amateur radio
KD,1976.04.03L,Unknown,Berkeley,CA,USA,,"Berkeley, CA, USA","Berkeley, CA, United States",37.86988068,-122.2705383,4,1976,Letters,Some Space War Background,3,8,Space war ,1.0,1976.0,86,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,
KD,1976.04.04L,Male,Patrick AFB,FL,USA,,"Patrick AFB, FL, USA","Patrick AFB, FL, United States",28.2465992,-80.60272217,4,1976,Letters,Navigating an ocean of information,4,8,,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Hardware
KD,1976.04.05L,Male,Garland,TX,USA,75042,"Garland, TX 75042, USA","Garland, TX, United States",32.91426849,-96.6365509,4,1976,Letters,An improved cassette interface circuit,5,8,Digital Data on Cassette Recorders,3.0,1976.0,40,,"No, they did not",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,hobbyists; cassette recorder; hardware
KD,1976.04.06L,Male,Stanford,CA,USA,94305,"Stanford, CA 94305, USA","Stanford, CA, United States",37.43136978,-122.16892240000001,4,1976,Letters,RTTY and Morse,6,10,LIFE conway series,,1975.0,,,"No, they did not",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Amateur radio; RTTY
KD,1976.04.07L,Male,Mountain View,CA,USA,,"Mountain View, CA, USA","Mountain View, CA, United States",37.38967133,-122.08159640000001,4,1976,Letters,Comments on Computer Megalomania,6,71,A Lesson in Economics; Could a Computer Take Over,,1975.0,,,"Yes, the editors responded",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Science fiction
KD,1976.04.08L,Unknown,St. Louis,MO,USA,,"St. Louis, MO, USA","St Louis, MO, United States",38.6277504,-90.19956207,4,1976,Letters,Who are you trying to kid?,7,72,New offices,2.0,1976.0,14,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KD,1976.04.09L,Male,Los Angeles,CA,USA,,"Los Angeles, CA, USA","Los Angeles, CA, United States",34.05348969,-118.2453232,4,1976,Letters,Join the club?,8,72,Editorial,2.0,1976.0,,,"No, they did not",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hobbyists; standardization; Interface magazine
KD,1976.05.01L,Male,Wappingers Falls,NY,USA,,"Wappingers Falls, NY, USA","Wappingers Falls, NY, United States",41.59695053,-73.91325378,5,1976,Letters,On the truth and beauty of blinking lights (and other subjects),1,14,Total Kitchen Information System; Space War stuff,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Hardware
KD,1976.05.02L,Male,Deep River,Ontario,Canada,,"Deep River, Ontario, Canada","Deep River, ON, Canada",46.09806824,-77.49265289,5,1976,Letters,On code translations and vacuums,2,14,Editorial; Software vacuum,12.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,Hardware
KD,1976.05.03L,Male,Boulder,CO,USA,,"Boulder, CO, USA","Boulder, CO, United States",40.01573944,-105.2792435,5,1976,Letters,A query about the audio standard,3,14,More on this cassette standard issue,,,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hardware
KD,1976.05.04L,Male,Dallas,TX,USA,,"Dallas, TX, USA","Dallas, TX, United States",32.77814865,-96.79540253,5,1976,Letters,,4,16,"March, April, September articles",,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hardware; standardization
KD,1976.05.05L,Male,Los Angeles,CA,USA,,"Los Angeles, CA, USA","Los Angeles, CA, United States",34.05348969,-118.2453232,5,1976,Letters,Paying ohmage to resistance,5,16,K or k? by Manfred Peshka,1.0,1976.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
KD,1976.05.06L,Unknown,Seattle,WA,USA,,"Seattle, WA, USA","Seattle, WA, United States",47.60356903,-122.32945249999999,5,1976,Letters,"Scientific applications, anyone?",6,80,,,,,,"No, they did not",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Amateur radio; astronomy
KD,1976.05.07L,Male,New York,NY,USA,,"New York, NY, USA","New York, NY, United States",40.71455002,-74.00714111,5,1976,Letters,NO DeBYTEchery...,7,80,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
KD,1976.05.08L,Male,San Jose,CA,USA,,"San Jose, CA, USA","San Jose, CA, United States",37.33864975,-121.88542179999999,5,1976,Letters,The absurdity of all powerful computers,8,80,Could a computer take over?,,,,,"Yes, the editors responded",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
KD,1976.05.09L,Unknown,Unknown,??,Unknown,,"Unknown, ??, Unknown",,,,5,1976,Letters,Ogham and stonehenge,9,80,"Thomas C McIntire ""How to Save the Bytes""",,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
KD,1976.05.10L,Male,Champaign,IL,USA,,"Champaign, IL, USA","Champaign, IL, United States",40.11420059,-88.24349976,5,1976,Letters,Some suggestions,10,81,Bob Baker PDP-11/LSI story,,,,,"Yes, the editors responded",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Hardware
KD,1976.06.01L,Male,Biloxi,MS,USA,39532,"Biloxi, MS 39532, USA","Biloxi, MS, United States",30.39438057,-88.89639282,6,1976,Letters,High level languages,1,52,,,,,,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Hardware
KD,1976.06.02L,Male,New York,NY,USA,9205,"New York, NY 9205, USA","New York, NY, United States",40.71455002,-74.00714111,6,1976,Letters,Iran into your magazine the other day,2,52,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
KD,1976.06.03L,Male,Thompson,Manitoba,Canada,,"Thompson, Manitoba, Canada","Thompson, MB, Canada",55.74417877,-97.85066986,6,1976,Letters,"Would-be authors, take note",3,52,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Hardware
KD,1976.06.04L,Male,Nashua,NH,USA,,"Nashua, NH, USA","Nashua, NH, United States",42.75873184,-71.46437836,6,1976,Letters,BYTE article SNOBOLs,4,52,Maurer article on algebraic expressions,2.0,1976.0,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,
KD,1976.06.05L,Male,Parsippany,NJ,USA,,"Parsippany, NJ, USA","Parsippany, NJ, United States",40.87298965,-74.43036652,6,1976,Letters,Any audio will work,5,52,"Don Lancaster, Bit Boffer; Harold Mauch, Digital Data on Cassette Recorders",,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Hardware
KD,1976.06.06L,Male,Ypsilanti,MI,USA,,"Ypsilanti, MI, USA","Ypsilanti, MI, United States",42.24081039,-83.61309052,6,1976,Letters,Pornograph records,6,53,,,,,,"No, they did not",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Humor; poetry
KD,1976.06.07L,Male,New York,NY,USA,10017,"New York, NY 10017, USA","New York, NY, United States",40.71455002,-74.00714111,6,1976,Letters,Sage advice,7,52,,,,,,"No, they did not",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
KD,1976.06.08L,Unknown,San Diego,CA,USA,,"San Diego, CA, USA","San Diego, CA, United States",32.71567917,-117.16171259999999,6,1976,Letters,I think you blew your cover,8,54,Cover,12.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
KD,1976.06.09L,Male,Seattle,WA,USA,98105,"Seattle, WA 98105, USA","Seattle, WA, United States",47.60356903,-122.32945249999999,6,1976,Letters,Disdain,9,54,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
KD,1976.06.10L,Male,Cincinnati,OH,USA,,"Cincinnati, OH, USA","Cincinnati, OH, United States",39.10712814,-84.5041275,6,1976,Letters,Utilizing special cases,10,54,6800 catepillar programming,3.0,1976.0,90,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,
KD,1976.06.11L,Male,Owosso,MI,USA,,"Owosso, MI, USA","Owosso, MI, United States",42.99758148,-84.17624664,6,1976,Letters,The computer architect's search for utopia,11,55,,,,,1976.03.??,"No, they did not",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Hardware
KD,1976.06.12L,Unknown,Lethbridge,Alberta,Canada,TIH2C3,"Lethbridge, Alberta TIH2C3, Canada","Lethbridge, AB, Canada",49.69382858,-112.83373259999999,6,1976,Letters,Help!,12,55,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
KD,1976.07.01A,Male,Goldsboro,NC,USA,,"Goldsboro, NC, USA","Goldsboro, NC, United States",35.38595963,-77.99684906,7,1976,Ask Byte,,1,95,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Medicine
KD,1976.07.01L,Male,Vienna,VA,USA,22180,"Vienna, VA 22180, USA","Vienna, VA, United States",38.90037155,-77.26364899,7,1976,Letters,The Polaroid Hard Copy Unit,1,90,,,,,,"No, they did not",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Photography
KD,1976.07.02L,Male,Garden Grove,CA,USA,,"Garden Grove, CA, USA","Garden Grove, CA, United States",33.77606964,-117.9361572,7,1976,Letters,An opinion on software marketing,2,90,Open letter to hobbyists (not published in Byte),,,,,"No, they did not",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,
KD,1976.07.03L,Unknown,Los Angeles,CA,USA,,"Los Angeles, CA, USA","Los Angeles, CA, United States",34.05348969,-118.2453232,7,1976,Letters,Let's have a SNOBOL fight (but ICEBOLs are no fair),3,91,Magic of computer languages; Frankenstein Emulation; TMS9900 article,4.0,1976.0,"24, 50, 64",,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Hardware
